,School,Students,District
497,"8/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Pleasant Valley School
591 Ellington Road, South Windsor, CT, 06074  Homes for sale",494.0,South Windsor School District
498,"3/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Veterans' Memorial School
80 Crouch Avenue, Norwich, CT, 06360  Homes for sale",313.0,Norwich School District
499,"5/10AverageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Mary E. Griswold School
133 Heather Lane, Berlin, CT, 06037  Homes for sale",505.0,Berlin School District
500,"2/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Uncas School
280 Elizabeth St Extension, Norwich, CT, 06360  Homes for sale",264.0,Norwich School District
501,"3/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Global Exp Magnet
44 Griffin Road South, Bloomfield, CT, 06002  Homes for sale",215.0,Bloomfield School District
502,"4/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Seymour Middle School
211 Mountain Road, Seymour, CT, 06483  Homes for sale",511.0,Seymour School District
503,"7/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Edith E. Mackrille School
806 Jones Hill Road, West Haven, CT, 06516  Homes for sale",320.0,West Haven School District
504,"5/10AverageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Multicultural Magnet School
1 Bulkeley Place, New London, CT, 06320  Homes for sale",535.0,Learn
505,"2/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
McDonough School
111 Hillside Avenue, Hartford, CT, 06106  Homes for sale",237.0,Hartford School District
506,"3/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Bloomfield High School
5 Huckleberry Lane, Bloomfield, CT, 06002  Homes for sale",520.0,Bloomfield School District
507,"5/10AverageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
East Windsor High School
76 South Main Street, East Windsor, CT, 06088  Homes for sale",300.0,East Windsor School District
508,"6/10AverageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Horace W. Porter School
3 Schoolhouse Road, Columbia, CT, 06237  Homes for sale",430.0,Columbia School District
509,"8/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Northeast School
69 East Street, Vernon, CT, 06066  Homes for sale",235.0,Vernon School District
510,"8/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Flanders School
167 Boston Post Road, East Lyme, CT, 06333  Homes for sale",360.0,East Lyme School District
511,"3/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Metropolitan Business High School
115 Water Street, New Haven, CT, 06511  Homes for sale",405.0,New Haven School District
512,"10/10Top ratedGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Union School
173 School Street, Farmington, CT, 06085  Homes for sale",329.0,Farmington School District
513,"7/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Orange Avenue School
260 Orange Avenue, Milford, CT, 06461  Homes for sale",395.0,Milford School District
514,"5/10AverageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
City Hill Middle School
441 City Hill St, Naugatuck, CT, 06770  Homes for sale",647.0,Naugatuck School District
515,"1/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Lincoln School
145 Steele Street, New Britain, CT, 06052  Homes for sale",711.0,New Britain School District
516,"6/10AverageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Newington High School
605 Willard Avenue, Newington, CT, 06111  Homes for sale",1287.0,Newington School District
517,"2/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Burr School
400 Wethersfield Avenue, Hartford, CT, 06114  Homes for sale",542.0,Hartford School District
518,"4/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Ledyard High School
24 Gallup Hill Road, Ledyard, CT, 06339  Homes for sale",759.0,Ledyard School District
519,"6/10AverageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Southeast Elementary School
134 Warrenville Road, Mansfield, CT, 06250  Homes for sale",180.0,Mansfield School District
520,"4/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Great Path Acad Mcc
60 Bidwell Street, Manchester, CT, 06040  Homes for sale",320.0,Hartford School District
521,"4/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Gildersleeve School
575 1/2 Main Street, Portland, CT, 06480  Homes for sale",297.0,Portland School District
522,"7/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Middlefield Memorial School
124 Hubbard Street, Middlefield, CT, 06455  Homes for sale",330.0,Region 13
523,"8/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Eli Terry Jr. Middle School
21 North Main Street, Plymouth, CT, 06786  Homes for sale",351.0,Plymouth School District
524,"2/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Wilbur Cross High School
181 Mitchell Drive, New Haven, CT, 06511  Homes for sale",1458.0,New Haven School District
525,"9/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Doolittle School
735 Cornwall Avenue, Cheshire, CT, 06410  Homes for sale",456.0,Cheshire School District
526,"5/10AverageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Amistad Academy
1 awardAwards & BadgesCollege Success Award2019See all winners in Connecticut130 Edgewood Avenue, New Haven, CT, 06511  Homes for sale",1081.0,Amistad Academy District
527,"8/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Middlebrook School
220 Middlebrooks Avenue, Trumbull, CT, 06611  Homes for sale",498.0,Trumbull School District
528,"4/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
M. D. Fox Compact School
470 Maple Avenue, Hartford, CT, 06114  Homes for sale",610.0,Hartford School District
529,"3/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Roger Sherman School
64 North Pearl Street, Meriden, CT, 06450  Homes for sale",509.0,Meriden School District
530,"6/10AverageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
North Haven High School
2 awardsAwards & BadgesCollege Success Award2019, 2020See all winners in Connecticut221 Elm Street, North Haven, CT, 06473  Homes for sale",998.0,North Haven School District
531,"9/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Turkey Hill School
441 Turkey Hill Road, Orange, CT, 06477  Homes for sale",294.0,Orange School District
532,"Currently unrated GreatSchools’ Summary Rating provides an overall snapshot of school quality. 
For some schools, we do not have enough data from state or national education agencies to provide a rating.
North Street School
325 North Street, Windsor Locks, CT, 06096  Homes for sale",422.0,Windsor Locks School District
533,"9/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Woodstock Academy
57 Academy Rd, Woodstock, CT, 06281  Homes for sale",1087.0,Woodstock Academy
534,"9/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
King's Highway Elementary School
125 Post Road West, Westport, CT, 06880  Homes for sale",463.0,Westport School District
535,"8/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Amity Regional High School
2 awardsAwards & BadgesCollege Success Award2019, 2020See all winners in Connecticut25 Newton Road, Woodbridge, CT, 06525  Homes for sale",1476.0,Region 05
536,"5/10AverageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Information Technology And Software Engineering High School
840 Old Town Road, Bridgeport, CT, 06606  Homes for sale",475.0,Bridgeport School District
537,"5/10AverageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Woodland Regional High School
135 Back Rimmon Road, Beacon Falls, CT, 06403  Homes for sale",666.0,Region 16
538,"4/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
New Beginnings Family Academy
184 Garden Street, Bridgeport, CT, 06605  Homes for sale",497.0,New Beginnings Inc.
539,"3/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
John M. Moriarty School
20 Lawler Lane, Norwich, CT, 06360  Homes for sale",406.0,Norwich School District
540,"2/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Katherine Brennan/Clarence Rogers School
200 Wilmot Road, New Haven, CT, 06515  Homes for sale",517.0,New Haven School District
541,"5/10AverageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Harry M. Bailey Middle School
106 Morgan Lane, West Haven, CT, 06516  Homes for sale",919.0,West Haven School District
542,"2/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Martin School
140 Dartmouth Road, Manchester, CT, 06040  Homes for sale",246.0,Manchester School District
543,"5/10AverageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Joseph O. Goodwin School
1235 Forbes Street, East Hartford, CT, 06118  Homes for sale",364.0,East Hartford School District
544,"1/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Washington School
94 Cedar Street, Manchester, CT, 06040  Homes for sale",309.0,Manchester School District
545,"4/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Ivy Drive School
160 Ivy Drive, Bristol, CT, 06010  Homes for sale",382.0,Bristol School District
546,"3/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Southwest School
340 Litchfield Street, Torrington, CT, 06790  Homes for sale",323.0,Torrington School District
547,"Currently unrated GreatSchools’ Summary Rating provides an overall snapshot of school quality. 
For some schools, we do not have enough data from state or national education agencies to provide a rating.
Southwest Elementary School
51 Daniels Ave, Waterford, CT, 06385  Homes for sale",,Waterford School District
548,"2/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Kennelly School
180 White Street, Hartford, CT, 06114  Homes for sale",534.0,Hartford School District
549,"7/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Timothy Edwards School
100 Arnold Way, South Windsor, CT, 06074  Homes for sale",963.0,South Windsor School District
550,"10/10Top ratedGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
East School
54 Little Brook Road, New Canaan, CT, 06840  Homes for sale",537.0,New Canaan School District
551,"1/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Augusta Lewis Troup School
259 Edgewood Avenue, New Haven, CT, 06511  Homes for sale",471.0,New Haven School District
552,"7/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
University High School
2 awardsAwards & BadgesCollege Success Award2019, 2020See all winners in Connecticut351 Mark Twain Drive, Hartford, CT, 06105  Homes for sale",439.0,Hartford School District
553,"5/10AverageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Vernon Center Middle School
777 Hartford Turnpike, Vernon, CT, 06066  Homes for sale",703.0,Vernon School District
554,"4/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Kendall Elementary School
57 Fillow Street, Norwalk, CT, 06850  Homes for sale",506.0,Norwalk School District
555,"6/10AverageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Mill Ridge Primary School
49 High Ridge Road, Danbury, CT, 06811  Homes for sale",340.0,Danbury School District
556,"3/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Hartford Magnet Trinity College Academy
53 Vernon Street, Hartford, CT, 06106  Homes for sale",1069.0,Hartford School District
557,"7/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
East Hampton High School
1 awardAwards & BadgesCollege Success Award2020See all winners in Connecticut15 North Maple Street, East Hampton, CT, 06424  Homes for sale",470.0,East Hampton School District
558,"4/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Stafford High School
145 Orcuttville Road, Stafford, CT, 06076  Homes for sale",393.0,Stafford School District
559,"4/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Dag  Hammarskjold Middle School
106 Pond Hill Road, Wallingford, CT, 06492  Homes for sale",702.0,Wallingford School District
560,"3/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Dr. James H Naylor/Ccsu Leadership Academy
639 Franklin Avenue, Hartford, CT, 06114  Homes for sale",614.0,Hartford School District
561,"1/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
West Rock Author's Academy
311 Valley Street, New Haven, CT, 06515  Homes for sale",203.0,New Haven School District
562,"6/10AverageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Wolcott School
71 Wolcott Road, West Hartford, CT, 06110  Homes for sale",410.0,West Hartford School District
563,"5/10AverageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Platt Technical High School
600 Orange Avenue, Milford, CT, 06461  Homes for sale",816.0,Connecticut Technical High School
564,"8/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Clintonville Elementary School
456 Clintonville Road, North Haven, CT, 06473  Homes for sale",342.0,North Haven School District
565,"4/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Naramake Elementary School
16 King St, Norwalk, CT, 06851  Homes for sale",392.0,Norwalk School District
566,"4/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Windsor Locks Middle School
7 Center Street, Windsor Locks, CT, 06096  Homes for sale",342.0,Windsor Locks School District
567,"9/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Booth Hill School
545 Booth Hill Road, Trumbull, CT, 06611  Homes for sale",464.0,Trumbull School District
568,"6/10AverageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Bethel Middle School
600 Whittlesey Drive, Bethel, CT, 06801  Homes for sale",659.0,Bethel School District
569,"4/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Ashford School
440 Westford Road, Ashford, CT, 06278  Homes for sale",394.0,Ashford School District
570,"Currently unrated GreatSchools’ Summary Rating provides an overall snapshot of school quality. 
For some schools, we do not have enough data from state or national education agencies to provide a rating.
Early Headstart Ã¯Â¿Â½ Boston Post Road
355 High Street, Windham, CT, 06226  Homes for sale",36.0,Windham School District
571,"3/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Fair Haven School
164 Grand Avenue, New Haven, CT, 06513  Homes for sale",820.0,New Haven School District
572,"8/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
New Fairfield High School
1 awardAwards & BadgesCollege Success Award2020See all winners in Connecticut54 Gillotti Road, New Fairfield, CT, 06812  Homes for sale",793.0,New Fairfield School District
573,"7/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Moody School
300 Country Club Road, Middletown, CT, 06457  Homes for sale",253.0,Middletown School District
574,"3/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
West Haven High School
1 Mcdonough Plz, West Haven, CT, 06516  Homes for sale",1453.0,West Haven School District
575,"4/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Lyman Memorial High School
917 Exeter Road, Lebanon, CT, 06249  Homes for sale",352.0,Lebanon School District
576,"3/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Wintergreen Interdistrict  Magnet School
670 Wintergreen Avenue, Hamden, CT, 06514  Homes for sale",625.0,Area Cooperative Educational
577,"7/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Somers High School
5 Vision Boulevard, Somers, CT, 06071  Homes for sale",475.0,Somers School District
578,"7/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Capt. Nathan Hale School
1776 Main Street, Coventry, CT, 06238  Homes for sale",374.0,Coventry School District
579,"9/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Coginchaug Regional High School
1 awardAwards & BadgesCollege Success Award2020See all winners in Connecticut135 Pickett Lane, Durham, CT, 06422  Homes for sale",532.0,Region 13
580,"9/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Stepney Elementary School
180 Old Newtown Road, Monroe, CT, 06468  Homes for sale",433.0,Monroe School District
581,"5/10AverageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Yalesville School
415 Church Street, Wallingford, CT, 06492  Homes for sale",322.0,Wallingford School District
582,"5/10AverageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Bristol Eastern High School
632 King Street, Bristol, CT, 06010  Homes for sale",1116.0,Bristol School District
583,"6/10AverageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Chaplin Elementary School
240 Palmer Road, Chaplin, CT, 06235  Homes for sale",147.0,Chaplin School District
